imageName X Y Z Omega Phi Kappa
IMG_5436.JPG 384471.109824921 5708783.147910215 125.21135716507938 -125.10925903232115 70.634661184464818 -56.280753927039157
IMG_5438.JPG 384471.08601818327 5708782.5986855198 125.23244367116602 -130.8839441010463 67.770367395893459 -50.058213882077567
IMG_5440.JPG 384470.88113371108 5708781.9309242936 125.2375861657672 -126.54834761932149 66.875973591492894 -54.46674267696617
IMG_5442.JPG 384470.69279676408 5708781.2209692886 125.23352206513434 -126.03514516105213 66.898425560913324 -54.830672719296388
IMG_5444.JPG 384470.5883687755 5708780.4879281279 125.2421440124514 -132.09670737735777 68.149760098071184 -50.510786848862253
IMG_5446.JPG 384470.56383858161 5708779.3407718232 125.23482244858107 -143.65796811103951 71.428832777744603 -36.637770633079953
IMG_5448.JPG 384470.32554594224 5708778.8892314853 125.22939760645204 -141.20004321591398 68.515078133370849 -41.955729685291232
IMG_5450.JPG 384470.00906281959 5708778.1836370314 125.229410943812 -140.20223724265978 69.913364788568771 -43.519988722347428
IMG_5452.JPG 384469.61302202143 5708777.6511496156 125.21318670664303 -136.56961132624119 70.340671739833354 -47.902472396422965
IMG_5454.JPG 384469.23606319202 5708777.1082351469 125.20981785268026 -143.18167207185655 72.150977606168325 -40.301542071546045
IMG_5456.JPG 384468.99001562939 5708776.7111975774 125.2534776064266 174.91421683791646 62.507516180069715 4.8627341429186055
IMG_5458.JPG 384468.40224448463 5708776.1773394179 125.2261238710901 171.77371444715271 61.903534698838364 7.1671268033425983
IMG_5460.JPG 384467.94551450462 5708775.4381363243 125.23496461628707 167.63833124521653 58.694205748636875 11.024581856060948
IMG_5462.JPG 384469.70616502897 5708772.1781875975 124.97752501756267 131.83480899251308 60.756893201823949 53.412782989573543
IMG_5464.JPG 384469.04718125903 5708771.5513061397 124.98573621775357 128.69534429854727 60.367294725992529 54.40852242636192
IMG_5466.JPG 384468.43127738422 5708770.9803118678 124.97114831377708 132.14757943235946 52.338954296250975 54.285173630741582
IMG_5468.JPG 384467.6860168259 5708770.4795718547 124.91511151794285 116.39944541130112 64.524411743606407 63.335956295421703
IMG_5470.JPG 384466.93280776468 5708769.8705654796 125.00570096272274 141.92542724820836 55.979552876770228 44.593357438268292
IMG_5472.JPG 384465.96378579788 5708769.1058674622 124.97579733691907 118.73597246751231 68.788025529333822 62.711789958106287
IMG_5474.JPG 384465.4394834768 5708768.3376590312 125.09433415234838 144.94108819720213 56.739037541030889 39.631147700264258
IMG_5476.JPG 384464.93035562278 5708767.7718444159 125.03636641336612 113.5581288800494 69.56350384581269 66.052799343077382
IMG_5478.JPG 384465.07223051519 5708766.3473430956 125.01297334904385 151.41934470994701 47.837379841858528 37.147798688122016
IMG_5480.JPG 384464.27222829731 5708766.1762244077 125.04552119918648 122.02376772468611 65.497565054358745 61.407062743084509
IMG_5482.JPG 384463.63214423112 5708765.6752136378 125.05373260946403 113.5087829100618 66.383871471302939 67.30717273638264
IMG_5484.JPG 384463.04642468371 5708765.1592002138 125.03515422313802 109.9072060485877 61.908511262797852 72.289227905151293
IMG_5486.JPG 384462.58634110756 5708764.3516905438 125.12161582195114 149.12156045891504 49.898566411587439 39.134738840652133
IMG_5488.JPG 384462.07321253954 5708763.8939235862 125.0406380930533 124.33776796898023 66.104709696440267 57.895131772648476
IMG_5490.JPG 384461.61744400929 5708763.3316012174 125.01595983599887 117.05906685060161 67.094815534919746 65.372620702883566
IMG_5492.JPG 384460.79693631234 5708762.5497192144 125.02088274853563 108.73888486795866 61.70984291825242 71.686050905775872
IMG_5494.JPG 384460.28957132035 5708761.8811698454 125.01001554420287 107.16825831803608 65.063111911901856 72.521425985162296
IMG_5496.JPG 384459.83521523565 5708761.1656252546 125.03102091192514 115.57958017509812 61.13259013427907 66.37897164430764
IMG_5498.JPG 384459.08655302244 5708760.3424521126 124.99889862003299 108.66149523489578 61.514588367977858 71.189135534192999
IMG_5500.JPG 384458.54564539669 5708759.5344355553 125.00002145845693 115.78043950329251 59.508222618474768 65.479102781921839
IMG_5502.JPG 384458.07935761049 5708758.6674783966 124.98153375760786 116.26434117264131 65.054105091336169 60.71986107987717
IMG_5504.JPG 384457.38844189822 5708757.9821055569 124.96991256934714 121.54576402742487 70.232955086795457 56.846643498931741
IMG_5506.JPG 384456.92316586664 5708757.5624997318 124.9762137508654 107.66396874969733 71.26374311151578 67.669015720237866
IMG_5508.JPG 384456.28877644934 5708756.6779620284 125.0800763172777 156.31072662447266 50.48256746293081 30.82166308305468
IMG_5510.JPG 384455.69769828813 5708756.1430273233 125.06699237761472 148.45398584949214 47.160902663500387 38.488740828671162
IMG_5512.JPG 384454.90590748168 5708755.1744306702 125.03775340338601 144.28618530748287 42.187766793484123 44.634793035481458
IMG_5514.JPG 384456.4465740078 5708751.9192263447 125.00059122493511 129.46840321181747 39.922588231826772 65.921552376160022
IMG_5516.JPG 384456.31231389823 5708751.1757986946 124.98351994209762 125.18033865715495 35.377121119790438 75.141954760290375
IMG_5518.JPG 384455.95783654263 5708750.5342310863 124.96485159952007 122.93431826732383 32.410744926527741 72.855127051620443
IMG_5520.JPG 384455.81607840996 5708749.759198105 124.95350246753561 124.76012781384561 31.892788546188594 74.224113885535715
IMG_5522.JPG 384455.59265646501 5708748.8985629734 124.94673177850258 122.37788568548588 27.65068297421616 76.067257599150807
IMG_5524.JPG 384455.22318665613 5708748.1332387533 124.96598848401433 121.61118559649023 23.120380918630456 75.751749979302303
IMG_5526.JPG 384455.12033526186 5708747.407481066 124.97421179741491 119.04697312718837 20.232225224840867 78.520595684991932
IMG_5528.JPG 384454.48334846954 5708746.3929664753 124.92288001207751 109.91658027766915 23.821063538621559 79.719346054788346
IMG_5530.JPG 384452.73355303495 5708744.2879110994 124.96630073487319 119.0881457229963 13.962432079320225 86.897194031819964
IMG_5532.JPG 384452.29010834068 5708743.7152088145 124.95648667984298 117.89584001923913 14.103888514175969 84.401161895031024
IMG_5534.JPG 384450.90385723615 5708743.1434458755 124.89234453166422 109.68455410541814 9.7030564569102484 89.695369694734183
IMG_5536.JPG 384450.34246696474 5708742.8005077038 124.85451152198365 107.02198990837702 14.534641585825396 85.748803442606388
IMG_5538.JPG 384449.48561969399 5708742.3691789852 124.86888401564742 114.73624837921338 6.2509592467765041 88.944626001661177
IMG_5540.JPG 384448.83837640961 5708741.7145861369 124.86529690795169 113.44142003533183 2.8310499459194149 89.154483441608036
IMG_5542.JPG 384447.84254740865 5708741.3579715863 124.80963588132823 100.02927717494069 -1.4249625384106912 87.537090481212701
IMG_5544.JPG 384446.5529444 5708741.0359773561 124.87607471901312 112.51102705978778 -1.876981128588924 92.321360549898472
IMG_5546.JPG 384445.69946314138 5708741.0473003602 124.89574213493802 116.06751708684963 -2.5326097994130721 93.947781399286271
IMG_5548.JPG 384445.08305891918 5708740.8649969995 124.83489329597957 103.14307887700576 -9.1754027279643395 90.899702296721202
IMG_5550.JPG 384442.43774767971 5708740.6940481793 124.86449173237239 108.06018405147555 -15.81429115090719 97.853660243602036
IMG_5552.JPG 384441.78964758228 5708741.5190388067 124.89181291727559 112.88287579977157 -0.73641295565139209 92.380033666944641
IMG_5554.JPG 384441.45378909551 5708742.0123717571 124.90728609665925 118.89099119157454 0.632563229716124 92.569370091697166
IMG_5556.JPG 384440.38993355288 5708742.788528868 124.82204926809499 106.5651252685536 -18.137756016685127 93.842802029703336
IMG_5558.JPG 384439.773271668 5708743.4752872614 124.86792925987143 116.53609166000953 -8.5724022429829283 95.591891728081961
IMG_5560.JPG 384438.99635033117 5708744.3291958878 124.80814154996315 104.45858328123217 -18.12288191737257 94.579505218296035
IMG_5562.JPG 384438.1393057449 5708744.6415641373 124.8618936998825 118.92126203934599 -18.547388361933393 100.70615372515013
IMG_5564.JPG 384437.14702995302 5708744.8945799135 124.86603176492667 121.45380995736573 -21.711363834327916 102.6238355766492
IMG_5566.JPG 384436.46551197232 5708745.5730486866 124.83134079605162 113.33929334448598 -22.284463956690715 98.361029476531215
IMG_5568.JPG 384435.56471281109 5708746.0311900685 124.8871563674264 124.85443871449381 -19.141233740082942 102.65866507286538
IMG_5570.JPG 384434.64826361701 5708746.5849744445 124.87875096019295 125.94726539389829 -20.003375505329469 105.45858975238835
